epoch,train_loss,val_loss,val_macro_f1,f1_blur,f1_underexposed,f1_overexposed,f1_noise,f1_contrast
1,0.3131873234353884,0.2820088403380435,0.5725511482958291,0.35106382978723405,0.8857142857142857,0.8494208494208494,0.0,0.7765567765567766
2,0.20823753233810868,0.2801610782094624,0.6907215534328345,0.5769230769230769,0.9202898550724637,0.7378640776699029,0.40714285714285714,0.8113879003558719
3,0.1892326408714959,0.31522599510524585,0.571799542106379,0.6424581005586593,0.9068825910931174,0.8433734939759037,0.05517241379310345,0.4111111111111111
4,0.16008558376419424,0.21615003567674887,0.7885139185112663,0.7652173913043478,0.9402390438247012,0.851063829787234,0.5339366515837104,0.852112676056338
5,0.1378630782769184,0.20385158223950345,0.808639521266155,0.8148148148148148,0.9477611940298507,0.8193832599118943,0.6444444444444445,0.816793893129771
6,0.12377136099067601,0.2545510219491046,0.7490793000833137,0.7946127946127947,0.9578544061302682,0.8540925266903915,0.2926829268292683,0.8461538461538461
7,0.11242996750756948,0.24994999607620033,0.8290650032414246,0.7931034482758621,0.9118773946360154,0.865546218487395,0.7375886524822695,0.8372093023255814
8,0.09451462279516037,0.24816761214448058,0.8105898798785318,0.8085106382978723,0.9402390438247012,0.875,0.6728971962616822,0.7563025210084033
9,0.10028229428060127,0.24472068007225575,0.7915622007498591,0.8132780082987552,0.9393939393939394,0.8395061728395061,0.4782608695652174,0.8873720136518771
10,0.09746320491111038,0.2347133916033351,0.8445281202504329,0.8135593220338984,0.9534883720930233,0.8856088560885609,0.6754385964912281,0.8945454545454545
