epoch,train_total,train_l1,train_perc,train_adv,train_d,val_psnr,val_ssim,val_lpips
1,0.1244613411663859,0.02640716290894758,1.2596239182684157,0.7014595866203308,0.6903107831323588,28.10934471130371,0.809311953385671,0.17389871716499328
2,0.12518020708941752,0.02653405181546178,1.2605769024403006,0.7123461644406672,0.6829502927484336,27.99907450358073,0.8052402106920878,0.16502466996510823
3,0.1261629557788924,0.026605732463024282,1.2717841747734282,0.7193602348367373,0.6826301586848719,27.960564931233723,0.8037961959838867,0.16503183762232462
4,0.12610973324626684,0.026685486254454764,1.2725445067992918,0.7159403794341617,0.6814440946888041,27.86486239115397,0.7961755013465881,0.15954460799694062
5,0.12659343000915316,0.026797974827112974,1.2703438445373818,0.725565213020201,0.6800618654599896,27.932491556803384,0.8046094767252604,0.1609027777115504
6,0.12646434007695428,0.026659241506691883,1.2752111305793126,0.7208907979506033,0.679748742668717,27.93035705566406,0.8060616763432821,0.15856638471285503
7,0.12635759905808502,0.026646144420805352,1.2680534013995417,0.7261756506782991,0.6790587198403146,27.815282236735026,0.7975840719540914,0.16505295713742574
8,0.12635144049784652,0.02654884961709656,1.2689496687165014,0.7271021047124157,0.6787856201882716,27.887832794189453,0.8020638545354207,0.15889240562915802
9,0.1271879350145658,0.026826202489987568,1.2774625260520864,0.7297720829093898,0.6792346567467407,27.923115158081053,0.8037054093678793,0.1605962292353312
10,0.1269117293327495,0.0268145393476718,1.273729257285595,0.7282144998510679,0.6774692778234128,27.99931599934896,0.8052067033449809,0.1566650358835856
11,0.12713391502836235,0.02683757919024814,1.28063003718853,0.7252966295237895,0.6771825640289871,27.91396738688151,0.801383240222931,0.15619127094745636
12,0.12635447395344576,0.026479550076786568,1.273500693065149,0.7239977513198499,0.6772011032810917,27.942286173502605,0.8027768500645955,0.15055467327435812
13,0.12724964555214952,0.026799893506837112,1.2769329545122605,0.7320620483822293,0.6768330371490231,27.819005482991535,0.801298668384552,0.14830740968386333
14,0.1266141207198854,0.02666586797029056,1.269189886196896,0.7297751288171168,0.6757785371608205,27.875984497070313,0.7999112248420716,0.15453413685162862
15,0.12717070513301426,0.02665335253846866,1.2796979833532263,0.7306490206608066,0.6756518105113948,27.918121643066407,0.8054300363858541,0.1528598654270172
