epoch,train_total,train_l1,train_perc,train_adv,train_d,val_psnr,val_ssim,val_lpips
1,0.13385790317422813,0.029227679241793574,1.3820827338430617,0.7105216797855165,0.6901532011451544,27.533341725667317,0.7953302542368571,0.18185974876085917
2,0.12949864200695796,0.02786388687996401,1.3166750743985176,0.7160199654323084,0.6834152205674736,27.621414591471353,0.7949227348963419,0.1761047875881195
3,0.1289107575322743,0.02768344443325919,1.306931992923772,0.7176142188685911,0.6814724165532324,27.74185437520345,0.7992070778210958,0.17763734698295594
4,0.1286749969822941,0.027694170785791897,1.3059010444967836,0.713715427727611,0.6785020381212234,27.745483423868816,0.8000980663299561,0.16827012797196705
5,0.1280356725608861,0.027313747253544903,1.2960819441963125,0.7183565047604067,0.6812094300985336,27.727882385253906,0.7961803007125855,0.16590454816818237
6,0.1288444714758683,0.02762555199916716,1.3028127081968166,0.721565635116012,0.6790639344188902,27.777964401245118,0.7990541275342306,0.1683456430832545
7,0.1278273915802991,0.02738100154911754,1.2935401410968215,0.7153876100977262,0.679564182681066,27.800980224609376,0.8020245226224264,0.16205517411231996
8,0.12753613206937356,0.02698950710085531,1.287918151528747,0.7230143028276937,0.6786532846313936,27.780236053466798,0.8008409682909647,0.1657115622361501
9,0.12801962970169606,0.027264990041860275,1.2922668343892805,0.7228259198643543,0.6789092035205276,27.725525741577147,0.8011974962552388,0.16142090956370037
10,0.1280301328127583,0.027161170926841872,1.2884392048473712,0.7289399855114795,0.678448173182982,27.815727742513022,0.8003034257888794,0.1578013163805008
11,0.12761156492073228,0.02697237844027027,1.2843770682811737,0.7284066155552864,0.6770672213148188,27.68702458699544,0.7982368620236715,0.16077817579110462
12,0.1277762436894355,0.027172174735891598,1.2837637284839596,0.7283176109194756,0.678078967112082,27.78496696472168,0.7981944441795349,0.1564267897605896
13,0.12740306670053136,0.027042189638854727,1.2820654083733205,0.7251520871564194,0.6782365019122759,27.745451787312824,0.796998811562856,0.15543903330961864
14,0.1282417032936657,0.0271670363964168,1.2914781534561404,0.7300151412685713,0.6776388720781715,27.9048930867513,0.8010500931739807,0.1665798052151998
15,0.1276213514653069,0.02686308454549699,1.283588014267109,0.7315772738721635,0.6780130725215983,27.840128173828123,0.802270192305247,0.1559596844514211
