epoch,train_loss,val_loss,val_macro_f1,f1_blur,f1_underexposed,f1_overexposed,f1_noise,f1_contrast
1,0.38082447324110114,0.2782360036735949,0.6506460721956546,0.5210727969348659,0.868421052631579,0.8214285714285714,0.2641509433962264,0.7781569965870307
2,0.27207739197689557,0.25564164052838867,0.7433440394710692,0.7351778656126482,0.8943089430894309,0.7774294670846394,0.48627450980392156,0.8235294117647058
3,0.2478601626727892,0.21965491156215253,0.7779697483196583,0.7069767441860465,0.9003436426116839,0.8347826086956521,0.7009646302250804,0.7467811158798283
4,0.20708609955466312,0.1800860869495765,0.8267330076038064,0.8016194331983806,0.9454545454545454,0.8398268398268398,0.7299703264094956,0.816793893129771
5,0.188590421365655,0.19538292450749356,0.8090842625108415,0.6949602122015915,0.9212598425196851,0.8571428571428571,0.7345132743362832,0.8375451263537906
6,0.17860204687585002,0.15846118784469107,0.8491193216233224,0.7916666666666666,0.9588014981273408,0.852112676056338,0.7658227848101266,0.8771929824561403
7,0.15526736576272093,0.16070072806399802,0.8445812313660642,0.8373983739837398,0.9149797570850202,0.8444444444444444,0.7786259541984732,0.847457627118644
8,0.14250851872822512,0.14354123984989914,0.8696362167623001,0.8480565371024735,0.9632352941176471,0.896,0.7756410256410257,0.8652482269503546
9,0.14297096437734105,0.14853659644722939,0.8726569103696201,0.8408163265306122,0.9612403100775194,0.8992248062015504,0.7848101265822784,0.8771929824561403
10,0.12345908497986587,0.11750059914977654,0.9008868863351474,0.9007633587786259,0.9811320754716981,0.8602150537634409,0.875,0.8873239436619719
11,0.10601763728520144,0.13561671551155008,0.8847500076341985,0.8646616541353384,0.9558823529411765,0.8685258964143426,0.8619528619528619,0.8727272727272727
12,0.09086045765358469,0.14851034513634184,0.871179369594193,0.890625,0.9811320754716981,0.7342995169082126,0.8498402555910544,0.9
13,0.10253763950389365,0.11924307744788087,0.8868394598637958,0.8644688644688645,0.9737827715355806,0.8784313725490196,0.7949790794979079,0.9225352112676056
14,0.09251688950411652,0.10597932743637459,0.9159585873800132,0.9018181818181819,0.9571984435797666,0.8939393939393939,0.9032258064516129,0.9236111111111112
15,0.07927456720043784,0.12911156880790772,0.8854183757643174,0.868421052631579,0.9490196078431372,0.8294314381270903,0.8571428571428571,0.9230769230769231
