epoch,train_total,train_l1,train_ssim,train_perc,val_psnr,val_ssim,val_lpips
1,0.21776876985564714,0.08541376407929631,0.3316307342791742,1.9838385942370393,21.144686698913574,0.6316740090648333,0.35445916280150414
2,0.21024402577516643,0.08227786740880141,0.31840804103733034,1.9225070397983226,21.169416824976604,0.6343221018711726,0.3520578593015671
3,0.21210799337357514,0.08301966719675896,0.3218068626037864,1.9381527494090471,21.25722869237264,0.638923724492391,0.3490536039074262
4,0.21000147056440974,0.08215541382457396,0.31675206067026124,1.923416957374691,21.308916727701824,0.6414015168944994,0.34631946310400963
5,0.20661553723174472,0.07918269292617491,0.31732733282007913,1.9140021574589634,21.410656054814655,0.644683264195919,0.344185018291076
6,0.20349444570236427,0.07719460438734801,0.3103562909965367,1.9052841954453046,21.488259236017864,0.6486810545126597,0.3410496252278487
7,0.20415916536436524,0.07843481532709543,0.31058932505836784,1.8933083054631255,21.42775336901347,0.6519531706968943,0.33636337394515675
8,0.200205426749795,0.07596630177121291,0.30320601523384566,1.87837041671886,21.2413809299469,0.6533633718887965,0.3359321268896262
9,0.20043529518121897,0.076791720118287,0.3033674008162447,1.8661366580992707,21.559662103652954,0.6566891546050707,0.3300998831788699
10,0.20148877695549366,0.07634742999839228,0.3056797743305679,1.8914673346881719,20.963606595993042,0.6584334373474121,0.33008772507309914
11,0.20168316612641016,0.07799178994325705,0.30123491042344147,1.8713576488716657,21.17421054840088,0.6613514994581541,0.3270942245920499
12,0.19762165521004404,0.07454045243965562,0.29832884553791017,1.864966324595518,21.39045810699463,0.6667642866571745,0.32119971327483654
13,0.1978775257634562,0.07562487305308035,0.29609187813692317,1.8528692454330682,21.8028883934021,0.6709067150950432,0.31948931391040486
14,0.19888179651064467,0.07587817761065192,0.29642988960872324,1.8672125635221022,21.634238243103027,0.6747809052467346,0.3165954624613126
15,0.1951640384026276,0.07319739146172538,0.2908867112425871,1.8575594757878504,21.590108394622803,0.6760844985644022,0.31377071638902027
16,0.1947094915911209,0.07322707569385453,0.2883553544218226,1.8529375657554745,22.022103389104206,0.6799544990062714,0.3116035970548789
17,0.19607776599799015,0.07464977241186209,0.2904910930367403,1.8475776407145714,21.83674716949463,0.6830584506193796,0.3102848331133525
18,0.19428052233402118,0.07432859201821708,0.28305608565493146,1.832926400872164,22.01824649175008,0.6894724369049072,0.30324060035248596
19,0.19319574147924895,0.07349531495467175,0.2800625333952349,1.8338834093522656,22.162018696467083,0.6955153544743856,0.29951784821848076
20,0.19210185165437618,0.07272566132998282,0.27795695265134174,1.8316098622573438,21.861885627110798,0.7003279328346252,0.29281442053616047
21,0.18901637944486716,0.07193214714873669,0.2699773006660994,1.8017300025437228,22.314928849538166,0.7015840038657188,0.2914347319553296
22,0.18853355750672576,0.07131953211140263,0.2689198625180148,1.8064407267311746,22.197228988011677,0.706776092449824,0.28608126441637677
23,0.19145334003738654,0.07359568690231373,0.27258403518403224,1.8119849544162898,22.412106196085613,0.7054515406489372,0.2849627553174893
