epoch,train_loss,val_loss,val_macro_f1,f1_blur,f1_underexposed,f1_overexposed,f1_noise,f1_contrast
1,0.3124787827031781,0.3058397536692412,0.5077855477855477,0.04195804195804196,0.9020979020979021,0.8333333333333334,0.0,0.7615384615384615
2,0.21458883794269176,0.2635192618421886,0.6910369275891345,0.5806451612903226,0.9110320284697508,0.8852459016393442,0.28272251308900526,0.7955390334572491
3,0.1759003804940166,0.32300939378531085,0.6869726203169598,0.25157232704402516,0.9309090909090909,0.8957528957528957,0.56875,0.7878787878787878
4,0.1575426703902206,0.2534454876314039,0.7648050186292928,0.7559055118110236,0.9393939393939394,0.8108108108108109,0.4845814977973568,0.8333333333333334
5,0.1436507555872503,0.2480941194555034,0.7792162028962528,0.7111111111111111,0.9393939393939394,0.8144796380090498,0.5921450151057401,0.8389513108614233
6,0.11840676463613606,0.2717459444766459,0.7465103767374245,0.7064220183486238,0.9307692307692308,0.8633093525179856,0.4166666666666667,0.8153846153846154
7,0.11481205012762186,0.2528928636532763,0.7772713573868583,0.7950819672131147,0.924901185770751,0.8484848484848485,0.46464646464646464,0.8532423208191127
8,0.10507970728506946,0.22427385867289876,0.8250346192539787,0.8203125,0.9465648854961832,0.8818897637795275,0.5972850678733032,0.8791208791208791
9,0.083257058917573,0.2594519033218208,0.8292495787637109,0.835820895522388,0.9377289377289377,0.8619246861924686,0.6194690265486725,0.8913043478260869
10,0.07107651775533502,0.22582311928272247,0.8527762956358167,0.828125,0.937007874015748,0.905511811023622,0.6996197718631179,0.8936170212765957
