epoch,train_total,train_l1,train_perc,train_adv,train_d,val_psnr,val_ssim,val_lpips
1,0.15339467359143635,0.03295121818434361,1.6931280737699463,0.715740966796875,0.6859002750973369,24.927542304992677,0.6902741968631745,0.33591409772634506
2,0.15501346529223198,0.03281772812438566,1.7245256900787354,0.7193890050400135,0.6688444777976635,24.98360300064087,0.6984661012887955,0.31184953302145
3,0.15636061277500418,0.03263177774673284,1.7012372033540593,0.7733394409334937,0.6580888662227364,24.791210079193114,0.6840820193290711,0.3092413455247879
4,0.15726576665806216,0.032963528302173285,1.7057601934255555,0.7802845331125481,0.6524054227873336,24.938556003570557,0.6892164438962937,0.3031687274575233
5,0.15673832096332727,0.03279607144379339,1.7002813877061356,0.7785635447779368,0.6524250013883723,24.920419788360597,0.6905313193798065,0.292682857811451
6,0.15960616680771805,0.03365539057656776,1.7347364669622376,0.7842790101849756,0.635433814137481,24.796948146820068,0.6843967944383621,0.2873351894319057
7,0.15768146816381187,0.033291380739835806,1.7045730202697045,0.7832286834716797,0.6407917954200922,24.911050510406493,0.6886133879423142,0.29189416766166687
8,0.15762826568165492,0.03334075151834377,1.7105688178262046,0.7751814247563827,0.6454877800719683,24.708666229248045,0.6748860001564025,0.28489973545074465
9,0.15805106315501902,0.033389417558561924,1.7093754690746927,0.7838573849478433,0.6449941186017768,24.549726009368896,0.6691608756780625,0.2689493879675865
10,0.15695434236942335,0.03317902755252151,1.6875539602235305,0.7879522922427156,0.6468782416609831,24.81544418334961,0.6878560215234757,0.27859718576073644
11,0.15600229643805083,0.03308777183640835,1.6891455788945042,0.7691448581773181,0.646819328707318,24.779933547973634,0.6811554580926895,0.2713145062327385
12,0.16012751349183016,0.03420399553900541,1.7243060317150383,0.7941642783408941,0.6417565304179524,24.685870933532716,0.6742104887962341,0.2785016052424908
13,0.15811825592157452,0.033684981059889464,1.7155115781828414,0.7731538726839908,0.6530260238536568,24.251638412475586,0.6476379483938217,0.2614073418080807
14,0.15784719655680102,0.033480385075821434,1.7071531157160915,0.780183060501897,0.6488551555677902,24.88718776702881,0.6873604923486709,0.2744488835334778
15,0.15601388319980267,0.03323212155942307,1.697764077297477,0.7578711124353631,0.6514828659767329,24.9386004447937,0.6904118001461029,0.2743970826268196
16,0.15652676616297212,0.03330741906755192,1.7004217957341394,0.7639650892379672,0.6391476933346238,24.935626697540282,0.6898688226938248,0.27639185041189196
17,0.15800430889046468,0.03340509826707286,1.7123064274011657,0.7796777263630268,0.640647003262542,24.87796287536621,0.6923792719841003,0.2649919778108597
18,0.15884927032991897,0.033530133711390714,1.7140773046848385,0.792305378165356,0.6408103133356848,24.570568561553955,0.68058360517025,0.2565530493855476
19,0.15766878751821295,0.033369241732844085,1.7022771086803703,0.7837137560511744,0.6445310800574546,24.674435806274413,0.6822400152683258,0.2560468137264252
20,0.1603875774976819,0.0339864487824745,1.738494410071262,0.7895281002965084,0.6477539841518846,24.5905198097229,0.6731448233127594,0.2671747788786888
21,0.15568993805452835,0.03321931100515432,1.6957510061042254,0.7536614914273106,0.6513975781063701,24.772677516937257,0.6877843677997589,0.2657658070325851
22,0.1573882108164388,0.03301774093578028,1.6918435917344203,0.795565753204878,0.6490243828573893,24.761439418792726,0.6838726162910461,0.26648474112153053
23,0.15781399877958519,0.03361157411926014,1.7072583054387291,0.7767901406731716,0.6531505648479905,24.832525062561036,0.6834228575229645,0.2791753262281418
24,0.15697732692541078,0.03336688026266042,1.700710730774458,0.771498167514801,0.6469172072965045,24.671751022338867,0.6792172223329545,0.26266396716237067
25,0.15581793570241262,0.03310988429327344,1.6930102581201598,0.7611507205075996,0.654268487941387,24.79105672836304,0.6896402984857559,0.25265208780765536
